,data_filepath,topics,alpha,eta,iterations,passes,decay,coherence
56,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.001,50,1,0.5,0.09202087401550843
57,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.001,50,1,0.99,0.07481458044853347
58,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.001,50,10,0.5,0.22586502985968768
59,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.001,50,10,0.99,0.09965488962035006
60,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.001,100,1,0.5,0.09252379222660576
61,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.001,100,1,0.99,0.07452092869795424
62,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.001,100,10,0.5,0.21415009144891256
63,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.001,100,10,0.99,0.10014301219833525
64,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.01,50,1,0.5,0.09224649558710948
65,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.01,50,1,0.99,0.07481458044853347
66,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.01,50,10,0.5,0.2294396845102283
67,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.01,50,10,0.99,0.09947982087169786
68,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.01,100,1,0.5,0.08418818555643517
69,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.01,100,1,0.99,0.07477494327985995
70,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.01,100,10,0.5,0.21352944975743307
71,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.001,0.01,100,10,0.99,0.09920852742002036
72,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,auto,50,1,0.5,0.1001185620393106
73,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,auto,50,1,0.99,0.07927627969297749
74,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,auto,50,10,0.5,0.25273884379545286
75,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,auto,50,10,0.99,0.11557684514492213
76,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,auto,100,1,0.5,0.09231840757239217
77,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,auto,100,1,0.99,0.07466377566639018
78,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,auto,100,10,0.5,0.2293510757162597
79,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,auto,100,10,0.99,0.09628019351514218
